"NVariables","Variables","Profit","Accuracy","NumBets","TrainingDataSize","Threshold"
3,"MFTAGm , MFTHGm , OddO2.5",360,0.8,2,"Max",2.7
4,"MFTAGt , MFTHGt , MFTAGm , MFTHGm",166,0.666666666666667,2,"Max",2.7
4,"MFTAGt , MFTHGt , MFTAGm , OddO2.5",198,0.729166666666667,2,"Max",2.7
4,"MFTAGt , MFTHGt , MFTHGm , OddO2.5",-163,0.5625,2,"Max",2.7
4,"MFTAGt , MFTAGm , MFTHGm , OddO2.5",347,0.741666666666667,2,"Max",2.7
4,"MFTHGt , MFTAGm , MFTHGm , OddO2.5",444,0.833333333333333,2,"Max",2.7
5,"MFTAGt , MFTHGt , MFTAGm , MFTHGm , OddO2.5",79,0.5625,2,"Max",2.7
1,"MFTAGt",-54.0000000000003,0.563020833333333,6,"Min",2.9
1,"MFTHGt",-317,0.531060606060606,6,"Min",2.9
1,"MFTAGm",181,0.596428571428571,6,"Min",2.9
1,"MFTHGm",268,0.628282828282828,6,"Min",2.9
1,"OddO2.5",-2392,0.363440860215054,6,"Min",2.9
2,"MFTAGt , MFTHGt",-155,0.567204301075269,6,"Min",2.9
2,"MFTAGt , MFTAGm",297,0.613440860215054,6,"Min",2.9
2,"MFTAGt , MFTHGm",605,0.655050505050505,6,"Min",2.9
2,"MFTAGt , OddO2.5",-14.0000000000005,0.537990196078431,6,"Min",2.9
2,"MFTHGt , MFTAGm",490,0.643333333333333,6,"Min",2.9
2,"MFTHGt , MFTHGm",207,0.644268077601411,6,"Min",2.9
2,"MFTHGt , OddO2.5",-406,0.511217948717949,6,"Min",2.9
2,"MFTAGm , MFTHGm",950,0.624654377880184,6,"Min",2.9
2,"MFTAGm , OddO2.5",-168,0.568125960061444,6,"Min",2.9
2,"MFTHGm , OddO2.5",-276,0.56421568627451,6,"Min",2.9
3,"MFTAGt , MFTHGt , MFTAGm",120,0.564444444444444,6,"Min",2.9
3,"MFTAGt , MFTHGt , MFTHGm",991,0.692091836734694,6,"Min",2.9
3,"MFTAGt , MFTHGt , OddO2.5",-21.0000000000001,0.589285714285714,6,"Min",2.9
3,"MFTAGt , MFTAGm , MFTHGm",197,0.621944444444444,6,"Min",2.9
3,"MFTAGt , MFTAGm , OddO2.5",697,0.637777777777778,6,"Min",2.9
3,"MFTAGt , MFTHGm , OddO2.5",-486,0.543627450980392,6,"Min",2.9
3,"MFTHGt , MFTAGm , MFTHGm",502,0.604333333333333,6,"Min",2.9
