"Threshold","Variables","TrainingDataSize","avgProfit","avgHitRate"
"Med","MFTAGm , MFTHGm , OddO2.5","Min",-1699.33333333333,0.488174019607843
"Med","MFTAGm , OddO2.5","Low",-973.333333333333,0.454228011655548
"Med","MFTAGm , OddO2.5","Max",152,0.569444444444444
"Med","MFTAGm , OddO2.5","Med",154.666666666667,0.498767370195942
"Med","MFTAGm , OddO2.5","Min",-1870.66666666667,0.452244433126786
"Med","MFTAGt","Low",-247,0.530787037037037
"Med","MFTAGt","Max",-23.3333333333333,0.513888888888889
"Med","MFTAGt","Med",-37.6666666666667,0.561813186813187
"Med","MFTAGt","Min",-909.333333333333,0.437967914438503
"Med","MFTAGt , MFTAGm","Low",-479.333333333333,0.520487121574078
"Med","MFTAGt , MFTAGm","Max",59.3333333333333,0.655555555555556
"Med","MFTAGt , MFTAGm","Med",123.666666666667,0.581746031746032
"Med","MFTAGt , MFTAGm","Min",-725.666666666667,0.535830420683156
"Med","MFTAGt , MFTAGm , MFTHGm","Low",-367.666666666667,0.579846254121616
"Med","MFTAGt , MFTAGm , MFTHGm","Max",152.333333333333,0.718055555555556
"Med","MFTAGt , MFTAGm , MFTHGm","Med",241,0.650510204081633
"Med","MFTAGt , MFTAGm , MFTHGm","Min",-756.333333333333,0.582470361882127
"Med","MFTAGt , MFTAGm , MFTHGm , OddO2.5","Low",-1093,0.490896259872709
"Med","MFTAGt , MFTAGm , MFTHGm , OddO2.5","Max",22.6666666666666,0.630753968253968
"Med","MFTAGt , MFTAGm , MFTHGm , OddO2.5","Med",-13.0000000000001,0.531115181115181
"Med","MFTAGt , MFTAGm , MFTHGm , OddO2.5","Min",-1986,0.487910265116147
"Med","MFTAGt , MFTAGm , OddO2.5","Low",-1036.66666666667,0.455110085499578
"Med","MFTAGt , MFTAGm , OddO2.5","Max",188.666666666667,0.520833333333333
"Med","MFTAGt , MFTAGm , OddO2.5","Med",106.666666666667,0.493823042037328
"Med","MFTAGt , MFTAGm , OddO2.5","Min",-1733.33333333333,0.46190546925841
"Med","MFTAGt , MFTHGm","Low",-84.6666666666667,0.596165458937198
"Med","MFTAGt , MFTHGm","Max",133.666666666667,0.670833333333333
"Med","MFTAGt , MFTHGm","Med",576,0.723412698412698
"Med","MFTAGt , MFTHGm","Min",-437.666666666667,0.561913345983555
"Med","MFTAGt , MFTHGm , OddO2.5","Low",-614.333333333333,0.498551203895407
"Med","MFTAGt , MFTHGm , OddO2.5","Max",105.666666666667,0.568055555555556
"Med","MFTAGt , MFTHGm , OddO2.5","Med",342.333333333333,0.534710593639165
"Med","MFTAGt , MFTHGm , OddO2.5","Min",-1174,0.500010610304728
"Med","MFTAGt , MFTHGt","Low",-416.666666666667,0.501388888888889
"Med","MFTAGt , MFTHGt","Max",95.3333333333334,0.634722222222222
"Med","MFTAGt , MFTHGt","Med",189,0.525793650793651
"Med","MFTAGt , MFTHGt","Min",-1093.66666666667,0.448106550312433
"Med","MFTAGt , MFTHGt , MFTAGm","Low",-341.333333333333,0.468700396825397
"Med","MFTAGt , MFTHGt , MFTAGm","Max",192.333333333333,0.779861111111111
"Med","MFTAGt , MFTHGt , MFTAGm","Med",181,0.564087301587302
"Med","MFTAGt , MFTHGt , MFTAGm","Min",-817.333333333333,0.515995741731036
"Med","MFTAGt , MFTHGt , MFTAGm , MFTHGm","Low",-452.666666666667,0.541429172679173
"Med","MFTAGt , MFTHGt , MFTAGm , MFTHGm","Max",75,0.763888888888889
"Med","MFTAGt , MFTHGt , MFTAGm , MFTHGm","Med",302.333333333333,0.697592883307169
"Med","MFTAGt , MFTHGt , MFTAGm , MFTHGm","Min",-978,0.550544441261353
"Med","MFTAGt , MFTHGt , MFTAGm , MFTHGm , OddO2.5","Low",-1134,0.483512575722721
"Med","MFTAGt , MFTHGt , MFTAGm , MFTHGm , OddO2.5","Max",-67,0.59973544973545
"Med","MFTAGt , MFTHGt , MFTAGm , MFTHGm , OddO2.5","Med",-168.666666666667,0.520572417000988
"Med","MFTAGt , MFTHGt , MFTAGm , MFTHGm , OddO2.5","Min",-1744.66666666667,0.489341948900772
